node_id,lat,lon
1,38.8988289,-77.0737412
2,38.8988393,-77.074134
3,38.898842,-77.0744205
4,38.8988394,-77.0747091
5,38.8988289,-77.0749926
6,38.8988125,-77.0752751
7,38.8987898,-77.0755404
8,38.8987601,-77.0758265
9,38.8987232,-77.0761023
10,38.8986775,-77.0763826
11,38.8986294,-77.0766439
12,38.898568,-77.0769222
13,38.8985011,-77.0771963
14,38.8984332,-77.0774499
15,38.8983571,-77.0777155
16,38.898272,-77.0779788
17,38.8981837,-77.0782315
18,38.8980861,-77.0784843
19,38.8979851,-77.0787384
20,38.8978849,-77.0789773
21,38.8977705,-77.0792282
22,38.8972791,-77.080334
23,38.8971182,-77.0807067
24,38.897015,-77.0809642
25,38.896931,-77.0812316
26,38.896867,-77.0815103
27,38.8968198,-77.0817838
28,38.8967884,-77.0820597
29,38.8967729,-77.0823344
30,38.8967778,-77.0826153
31,38.8967994,-77.0828942
32,38.8968417,-77.083169
33,38.8968976,-77.0834431
34,38.8969787,-77.0837339
35,38.8971062,-77.0840872
36,38.8972185,-77.0843455
37,38.8975708,-77.0850772
38,38.8922234,-77.0661107
39,38.892191,-77.0660485
40,38.8921479,-77.0659657
41,38.8920821,-77.0658274
42,38.8920374,-77.0657314
43,38.8919874,-77.0656097
44,38.8919424,-77.0654858
45,38.8919045,-77.0653717
46,38.8930201,-77.0559066
47,38.8921138,-77.0612703
48,38.883472,-77.0810463
49,38.8835439,-77.0810781
50,38.8836013,-77.0811035
51,38.8837158,-77.0811541
52,38.8837531,-77.0811579
53,38.8837884,-77.0811428
54,38.8838129,-77.0810874
55,38.8838392,-77.080993
56,38.8839295,-77.0806682
57,38.8839697,-77.0806002
58,38.8840187,-77.0805473
59,38.8840873,-77.0805234
60,38.8841617,-77.0805284
61,38.8846636,-77.0806468
62,38.8847199,-77.0806601
63,38.8849624,-77.0807173
64,38.8850918,-77.0807362
65,38.8851563,-77.0807354
66,38.8851996,-77.0807349
67,38.8856847,-77.0806704
68,38.8860198,-77.0805095
69,38.8860727,-77.0804693
70,38.8861256,-77.0804025
71,38.8865804,-77.079768
72,38.886649,-77.0796547
