poi_id,osm_id,name,lat,lon,amenity,tourism,railway,public_transport,aeroway,shop,leisure,office,building,addr_street,addr_housenumber,addr_city,all_tags_json
2666,,,38.8941962,-77.0725652,parking,,,,,,,,parking,,,,"{""amenity"": ""parking"", ""building"": ""parking"", ""layer"": ""-1"", ""parking"": ""multi-storey""}"
2667,,,38.8925767,-77.0705169,parking,,,,,,,,,,,,"{""amenity"": ""parking"", ""parking"": ""surface""}"
2668,,,38.8919283,-77.0694519,parking,,,,,,,,,,,,"{""amenity"": ""parking""}"
2669,,,38.8913971,-77.0683175,parking,,,,,,,,,,,,"{""amenity"": ""parking""}"
2670,,,38.89289,-77.0700793,parking,,,,,,,,,,,,"{""access"": ""private"", ""amenity"": ""parking"", ""parking"": ""surface""}"
2671,,,38.892385,-77.0700091,,,,,,,,,roof,,,,"{""building"": ""roof"", ""layer"": ""1""}"
2672,,,38.8931825,-77.0682649,parking,,,,,,,,,,,,"{""amenity"": ""parking""}"
2673,,,38.8915742,-77.0687209,parking,,,,,,,,parking,,,,"{""amenity"": ""parking"", ""building"": ""parking"", ""parking"": ""multi-storey""}"
2674,,,38.8919776,-77.069249,,,,,,,,,roof,,,,"{""building"": ""roof"", ""layer"": ""1""}"
2675,,,38.8931579,-77.0701276,parking,,,,,,,,,,,,"{""access"": ""private"", ""amenity"": ""parking"", ""parking"": ""surface""}"
2676,,,38.8939426,-77.0702985,parking,,,,,,,,,,,,"{""access"": ""private"", ""amenity"": ""parking"", ""parking"": ""surface""}"
2677,,,38.8938409,-77.0693468,parking,,,,,,,,,,,,"{""access"": ""private"", ""amenity"": ""parking"", ""parking"": ""surface""}"
2678,,,38.8930271,-77.0686273,parking,,,,,,,,,,,,"{""access"": ""private"", ""amenity"": ""parking"", ""parking"": ""surface""}"
2679,,,38.892564,-77.0684804,parking,,,,,,,,,,,,"{""access"": ""private"", ""amenity"": ""parking"", ""parking"": ""surface""}"
2680,,,38.8920885,-77.0685028,parking,,,,,,,,,,,,"{""amenity"": ""parking""}"
2681,,,38.8924939,-77.0692917,,,,,,,swimming_pool,,,,,,"{""access"": ""private"", ""leisure"": ""swimming_pool"", ""location"": ""outdoor""}"
2682,,,38.8927516,-77.0694487,,,,,,,,,yes,,,,"{""building"": ""yes""}"
2683,,,38.8929764,-77.0692564,,,,,,,,,roof,,,,"{""building"": ""roof"", ""layer"": ""1""}"
2684,,,38.8933622,-77.0698998,,,,,,,,,roof,,,,"{""building"": ""roof"", ""layer"": ""1""}"
2685,,,38.8902773,-77.0739789,,,,,,,swimming_pool,,,,,,"{""leisure"": ""swimming_pool"", ""swimming_pool"": ""inground""}"
2686,,,38.8903635,-77.07401,,,,,,,sports_centre,,,,,,"{""leisure"": ""sports_centre"", ""sport"": ""swimming""}"
2687,,,38.8904271,-77.0744276,parking,,,,,,,,,,,,"{""access"": ""customers"", ""amenity"": ""parking"", ""fee"": ""no"", ""parking"": ""surface"", ""surface"": ""asphalt""}"
2688,,North Meade Street Park,38.8913671,-77.0717657,,,,,,,park,,,,,,"{""leisure"": ""park"", ""name"": ""North Meade Street Park""}"
2689,,,38.8846734,-77.063236,,,platform,platform,,,,,,,,,"{""area"": ""yes"", ""bench"": ""yes"", ""bin"": ""yes"", ""level"": ""-1"", ""network"": ""Washington Metro"", ""operator"": ""Washington Metropolitan Area Transit Authority"", ""public_transport"": ""platform"", ""railway"": ""platform"", ""subway"": ""yes"", ""tactile_paving"": ""yes""}"
2690,,Avery Row Apartments,38.8876654,-77.0794407,,,,,,,,,apartments,North Rolfe Street,1200,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1200"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Rolfe Street"", ""building"": ""apartments"", ""name"": ""Avery Row Apartments"", ""source"": ""esri_USDOT_Virgina""}"
2691,,,38.8972897,-77.0698969,,,,,,,,,,19th Street North,1121,Arlington,"{""addr:city"": ""Arlington"", ""addr:country"": ""US"", ""addr:housenumber"": ""1121"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""19th Street North"", ""building:levels"": ""24"", ""building:part"": ""yes""}"
2692,,,38.8959588,-77.0686395,,,,,,,swimming_pool,,,,,,"{""access"": ""private"", ""leisure"": ""swimming_pool"", ""location"": ""outdoor""}"
2693,,,38.8948934,-77.0688675,,,,,,,swimming_pool,,,,,,"{""access"": ""private"", ""leisure"": ""swimming_pool"", ""location"": ""outdoor""}"
2694,,Gables Pointe 14,38.8891389,-77.0793773,,,,,,,,,apartments,North Rolfe Street,1353,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1353"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Rolfe Street"", ""building"": ""apartments"", ""building:levels"": ""12"", ""name"": ""Gables Pointe 14"", ""source"": ""esri_USDOT_Virgina""}"
2695,,Gables Pointe 14,38.8896652,-77.0794546,,,,,,,,,apartments,North Rolfe Street,1353,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1353"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Rolfe Street"", ""building"": ""apartments"", ""building:levels"": ""6"", ""name"": ""Gables Pointe 14"", ""source"": ""esri_USDOT_Virgina""}"
2696,,Three Oaks Park,38.8899311,-77.0789677,,,,,,,park,,,,,,"{""leisure"": ""park"", ""name"": ""Three Oaks Park""}"
2697,,,38.8978448,-77.0637299,,,,,,,,,shed,,,,"{""building"": ""shed""}"
2698,,,38.8947962,-77.076726,,,,,,,,,apartments,North Pierce Street,1788,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1788"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Pierce Street"", ""building"": ""apartments"", ""building:levels"": ""22"", ""layer"": ""-2"", ""source"": ""esri_USDOT_Virgina""}"
2699,,,38.894965,-77.0761525,,,,,,,,,residential,North Pierce Street,1771,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1771"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Pierce Street"", ""building"": ""residential"", ""building:levels"": ""26"", ""source"": ""esri_USDOT_Virgina""}"
2700,,,38.8950463,-77.0693122,motorcycle_parking,,,,,,,,,,,,"{""amenity"": ""motorcycle_parking"", ""description"": ""Motorcycle parking only 07:00-18:00 Mon-Fri""}"
2701,,,38.8943964,-77.0769996,shelter,,,,,,,,yes,,,,"{""amenity"": ""shelter"", ""bench"": ""yes"", ""bin"": ""yes"", ""building"": ""yes"", ""shelter_type"": ""public_transport""}"
2702,,Arlington Temple Community Center,38.8961697,-77.0727455,community_centre,,,,,,,,yes,,,,"{""amenity"": ""community_centre"", ""building"": ""yes"", ""building:levels"": ""3"", ""community_centre"": ""parish_hall"", ""denomination"": ""united_methodist"", ""name"": ""Arlington Temple Community Center"", ""religion"": ""christian""}"
2703,,,38.8927193,-77.0795838,shelter,,,,,,,,yes,,,,"{""amenity"": ""shelter"", ""bench"": ""yes"", ""bin"": ""yes"", ""building"": ""yes"", ""shelter_type"": ""public_transport""}"
2704,,,38.8963348,-77.0711842,,,,,,,swimming_pool,,,,,,"{""access"": ""private"", ""leisure"": ""swimming_pool"", ""location"": ""roof""}"
2705,,,38.8961593,-77.0713566,,,,,,,,,service,,,,"{""building"": ""service""}"
